2048 RL!
iteration: 53648, score: 1324, eps: 0.8585113872425206
iteration: 53760, score: 1032, eps: 0.8583497011342219
iteration: 53844, score: 608, eps: 0.8581880473599113
iteration: 53909, score: 428, eps: 0.8580264259131228
iteration: 53988, score: 456, eps: 0.8580264259131228
iteration: 54112, score: 1140, eps: 0.8577032799762535
iteration: 54200, score: 600, eps: 0.8577032799762535
iteration: 54286, score: 532, eps: 0.8575417554732471
iteration: 54392, score: 628, eps: 0.8573802632719107
iteration: 54497, score: 776, eps: 0.8572188033657853
iteration: 54563, score: 476, eps: 0.8570573757484119
iteration: 54756, score: 1972, eps: 0.8567346173540948
iteration: 54908, score: 1228, eps: 0.8564119880373182
iteration: 55030, score: 976, eps: 0.8562507217668753
iteration: 55136, score: 712, eps: 0.8560894877464614
iteration: 55243, score: 616, eps: 0.8559282859696272
iteration: 55336, score: 592, eps: 0.8557671164299245
iteration: 55412, score: 412, eps: 0.8556059791209065
iteration: 55523, score: 736, eps: 0.8554448740361279
iteration: 55634, score: 972, eps: 0.8552838011691443
iteration: 55798, score: 1436, eps: 0.8551227605135128
iteration: 55883, score: 696, eps: 0.8549617520627919
iteration: 55969, score: 628, eps: 0.8548007758105411
iteration: 56108, score: 1172, eps: 0.8544789198756952
iteration: 56213, score: 836, eps: 0.854318040180226
iteration: 56286, score: 536, eps: 0.854318040180226
iteration: 56352, score: 364, eps: 0.8541571926574784
iteration: 56444, score: 600, eps: 0.8539963773010185
iteration: 56510, score: 304, eps: 0.8538355941044139
iteration: 56631, score: 728, eps: 0.8536748430612332
iteration: 56714, score: 560, eps: 0.8535141241650464
iteration: 56778, score: 456, eps: 0.8535141241650464
iteration: 56933, score: 1264, eps: 0.8531927827879402
iteration: 57010, score: 576, eps: 0.8530321602941674
iteration: 57153, score: 1280, eps: 0.8528715699216812
iteration: 57305, score: 1280, eps: 0.8525504855148749
iteration: 57448, score: 1240, eps: 0.8523899914677117
iteration: 57507, score: 304, eps: 0.8522295295161482
