Episode 327: Total Reward = 456.0, Epsilon = 0.19, steps = 109.00
Episode 328: Total Reward = 436.0, Epsilon = 0.19, steps = 109.00
Episode 329: Total Reward = 568.0, Epsilon = 0.19, steps = 109.00
Episode 330: Total Reward = 632.0, Epsilon = 0.19, steps = 109.00
Episode 331: Total Reward = 560.0, Epsilon = 0.19, steps = 109.00
Episode 332: Total Reward = 504.0, Epsilon = 0.19, steps = 109.00
Episode 333: Total Reward = 632.0, Epsilon = 0.19, steps = 109.00
Episode 334: Total Reward = 520.0, Epsilon = 0.19, steps = 109.00
Episode 335: Total Reward = 896.0, Epsilon = 0.19, steps = 109.00
Episode 336: Total Reward = 576.0, Epsilon = 0.19, steps = 109.00
Episode 337: Total Reward = -3464.0, Epsilon = 0.18, steps = 134.00
Episode 338: Total Reward = 688.0, Epsilon = 0.18, steps = 134.00
Episode 339: Total Reward = -3768.0, Epsilon = 0.18, steps = 90.00
Episode 340: Total Reward = 568.0, Epsilon = 0.18, steps = 90.00
Episode 341: Total Reward = 552.0, Epsilon = 0.18, steps = 90.00
Episode 342: Total Reward = 252.0, Epsilon = 0.18, steps = 90.00
Episode 343: Total Reward = 580.0, Epsilon = 0.18, steps = 90.00
Episode 344: Total Reward = 820.0, Epsilon = 0.18, steps = 90.00
Episode 345: Total Reward = 632.0, Epsilon = 0.18, steps = 90.00
Episode 346: Total Reward = 596.0, Epsilon = 0.18, steps = 90.00
Episode 347: Total Reward = 528.0, Epsilon = 0.18, steps = 90.00
Episode 348: Total Reward = 464.0, Epsilon = 0.17, steps = 90.00
Episode 349: Total Reward = -3488.0, Epsilon = 0.17, steps = 135.00
Episode 350: Total Reward = 504.0, Epsilon = 0.17, steps = 135.00
Episode 351: Total Reward = 276.0, Epsilon = 0.17, steps = 135.00
Episode 352: Total Reward = -3452.0, Epsilon = 0.17, steps = 125.00
Episode 353: Total Reward = 416.0, Epsilon = 0.17, steps = 125.00
Episode 354: Total Reward = 524.0, Epsilon = 0.17, steps = 125.00
Episode 355: Total Reward = 312.0, Epsilon = 0.17, steps = 125.00
Episode 356: Total Reward = 664.0, Epsilon = 0.17, steps = 125.00
Episode 357: Total Reward = 468.0, Epsilon = 0.17, steps = 125.00
Episode 358: Total Reward = -3600.0, Epsilon = 0.17, steps = 140.00
Episode 359: Total Reward = 580.0, Epsilon = 0.17, steps = 140.00
Episode 360: Total Reward = 516.0, Epsilon = 0.16, steps = 140.00
Episode 361: Total Reward = 420.0, Epsilon = 0.16, steps = 140.00
Episode 362: Total Reward = 480.0, Epsilon = 0.16, steps = 140.00
Episode 363: Total Reward = -3748.0, Epsilon = 0.16, steps = 92.00
Episode 364: Total Reward = 536.0, Epsilon = 0.16, steps = 92.00
Episode 365: Total Reward = 416.0, Epsilon = 0.16, steps = 92.00
Episode 366: Total Reward = 580.0, Epsilon = 0.16, steps = 92.00
Episode 367: Total Reward = 212.0, Epsilon = 0.16, steps = 92.00
Episode 368: Total Reward = 576.0, Epsilon = 0.16, steps = 92.00
Episode 369: Total Reward = 360.0, Epsilon = 0.16, steps = 92.00
Episode 370: Total Reward = 928.0, Epsilon = 0.16, steps = 92.00
Episode 371: Total Reward = 520.0, Epsilon = 0.16, steps = 92.00
Episode 372: Total Reward = -3700.0, Epsilon = 0.15, steps = 139.00
Episode 373: Total Reward = 484.0, Epsilon = 0.15, steps = 139.00
Episode 374: Total Reward = 644.0, Epsilon = 0.15, steps = 139.00
Episode 375: Total Reward = -3720.0, Epsilon = 0.15, steps = 98.00
